4.78,2.12,4.13,2.3,3.18,2.96,1.32,3.3
5.6,2.24,5.29,2.48,3.65,3.22,1.65,4.51
5.23,2.24,5.1,2.45,4.59,3.24,1.38,4.48
5.68,2.27,4.62,2.48,3.64,3.55,1.42,4.16
5.8,2.32,4.59,2.37,3.49,3.53,2.08,4.63
4.88,1.77,4.28,1.89,3.25,3.91,1.22,3.91
6.09,2.46,7.53,2.6,4.29,3.86,1.59,3.99
5.65,2.78,5.65,3.04,4.86,4.16,2.09,2.74
5.57,2.32,5.34,2.59,4.64,3.77,2.28,2.46
5.97,2.31,5.08,2.55,4.25,3.86,2.44,3.07
6.22,2.32,5.2,2.49,4.31,4.06,2.09,4.11
4.64,1.34,2.45,1.4,3.31,3.69,0.62,4.77
5.54,2.48,3.24,2.07,3.6,3.57,1.98,3.59
5.62,2.36,4.47,2.55,3.84,3.48,1.9,3.44
5.19,2.32,4.34,2.58,3.98,3.63,1.89,4.33
5.16,2.36,4.34,2.5,3.92,3.42,1.78,3.41
5.73,2.28,4.48,2.64,4.01,3.31,1.93,4.25
5.05,1.54,3.49,1.81,3.43,2.39,1.47,2.89
5.08,2.1,3.81,2.17,3.86,2.48,1.23,2.48
4.96,2.36,4.39,2.61,4.32,3.24,1.86,3.25
4.97,2.33,4.24,2.62,4.38,3.37,2.09,3.22
5.4,2.31,4.48,2.61,4.09,3.33,2.21,2.56
6.94,2.28,4.42,2.53,4.5,3.73,2.18,2.91
6.28,2.05,4.1,2.42,2.95,2.63,1.04,2.26
6.5,2.2,5.62,3.93,3.08,2.91,0.9,3.35
7.27,2.4,6.76,4.37,3.46,3.46,1.61,3.07
7.09,2.48,6.61,4.38,3.55,3.33,1.86,3.54
6.75,2.39,6.56,4.65,3.45,3.39,2.11,4.1
6.74,2.3,6.22,4.34,3.46,3.37,1.77,3.53
4.96,1.37,3.64,2.53,2.74,2.28,0.86,2.71
5.22,2.31,5.59,3.64,2.82,3.08,1.17,3.36
5.41,2.45,6.12,4.32,3.32,3.58,1.78,3.31
4.86,2.36,6.44,4.22,3.36,3.42,1.51,2.85
4.96,2.37,6.3,3.97,3.64,3.41,1.7,2.99
4.73,2.38,6.36,4.05,3.39,3.4,1.48,3.05
4.4,2.05,5.78,3.85,2.91,3.16,1.01,3.25
4.5,3,7.66,4.21,2.78,3.99,2,3.64
4.68,2.29,6.21,3.99,3.35,3.07,1.68,3.53
4.87,2.29,6.48,3.85,3.16,2.64,1.4,3.35
4.82,2.39,6.67,3.95,3.39,2.96,1.74,3.21
4.67,2.53,6.63,4.08,3.4,2.43,1.44,2.79
3.93,2.26,5.54,2.94,2.56,2.04,1.25,2.71
4.5,2.23,5.29,3.54,2.91,2.28,1.2,2.68
4.64,2.29,6.1,3.91,3.59,2.5,1.89,2.77
4.73,2.36,6.01,4.02,3.79,2.56,1.6,3.06
4.65,2.43,5.98,4.4,4.36,2.94,2.04,3.58
4.82,2.43,5.97,4.42,4.78,3.25,1.89,2.74
4.24,1.73,4.09,2.56,3.24,2.15,1.17,2.21
7.06,2.51,5.31,4.05,4.05,2.63,1.15,2.41
7.36,2.37,5.81,4.22,3.47,3.03,1.88,2.64
6.75,2.48,5.96,4.2,3.47,2.73,1.75,3.1
6.99,2.32,6.07,4.12,3.24,3.16,1.74,2.81
6.39,2.42,5.81,4.15,3.58,2.86,1.95,2.69
6.46,2.19,4.97,3.66,2.86,2.34,1.49,2.4
6.49,2.28,5.15,3.85,2.97,2.4,1.31,2.5
6.64,2.48,5.61,4.07,3.4,2.63,1.73,2.96
6.48,2.65,5.96,4.08,3.68,2.49,1.87,2.87
5.73,2.55,6.04,4.04,3.61,2.88,2.14,2.96
5.32,2.6,6.01,4.34,4.39,3.28,2.49,2.78
4.09,2.27,5.88,2.71,2.56,1.97,1.33,2.92
5.22,2.84,4.79,3.71,3.61,2.18,1.85,4.65
6.16,3.08,5.69,5.55,4.06,3.56,3.63,4.39
5.57,2.77,4.68,4.51,3.85,3.16,2.68,4.9
5.42,2.67,4.77,4.45,3.3,2.88,2.65,3.91
5.02,2.6,4.9,4.31,3.33,2.62,2.13,3.85
