Date,Huiwan Center,Luojiaying,Guanyingshan East,Guanyingshan Center,Guanyingshan West,Baiyukou,Haikou West,Dianchi South
2019/1/1 0:00,,0.27424749163879597,0.30656934306569344,0.415204678362573,0.6338028169014084,0.4000000000000001,0.44808743169398907,0.2919254658385093
2019/1/1 4:00,0.3688524590163934,0.27759197324414714,0.2956204379562044,0.48538011695906425,0.6197183098591549,0.41578947368421054,0.4754098360655738,0.2919254658385093
2019/1/1 8:00,,0.2709030100334448,0.29197080291970806,0.42690058479532156,0.6197183098591549,0.3947368421052632,0.4863387978142077,0.2763975155279503
2019/1/1 12:00,0.40983606557377045,0.27759197324414714,0.29927007299270075,0.39181286549707595,0.6197183098591549,0.37894736842105264,0.49180327868852464,0.2763975155279503
2019/1/1 16:00,,0.29096989966555187,0.30656934306569344,0.42105263157894735,0.6619718309859155,0.4052631578947368,0.48087431693989074,0.2888198757763975
2019/1/1 20:00,,0.2842809364548495,0.32116788321167883,0.4444444444444443,0.6408450704225351,0.3947368421052632,0.49180327868852464,0.2826086956521739
2019/1/2 0:00,,0.30434782608695654,0.3248175182481752,0.42690058479532156,0.6549295774647887,0.4105263157894737,0.5245901639344261,0.2763975155279503
2019/1/2 4:00,,0.28762541806020064,0.3467153284671533,0.46198830409356717,0.6056338028169014,0.4052631578947368,0.49180327868852464,0.2795031055900621
2019/1/2 8:00,0.40983606557377045,0.2842809364548495,0.31386861313868614,0.4444444444444443,0.6197183098591549,0.4105263157894737,0.49180327868852464,0.27018633540372666
2019/1/2 12:00,0.3401639344262295,0.27424749163879597,0.3284671532846715,0.39181286549707595,0.5774647887323943,0.4105263157894737,0.5245901639344261,0.2795031055900621
2019/1/2 16:00,0.31147540983606553,0.2709030100334448,0.3175182481751825,0.415204678362573,0.6197183098591549,0.4473684210526316,0.49180327868852464,0.2763975155279503
2019/1/2 20:00,0.31967213114754095,0.29096989966555187,0.3248175182481752,0.42690058479532156,0.6408450704225351,0.42631578947368426,0.4972677595628416,0.2857142857142857
2019/1/3 0:00,0.3483606557377049,0.28762541806020064,0.3394160583941606,0.47953216374269003,0.7253521126760563,0.431578947368421,0.4754098360655738,0.2826086956521739
2019/1/3 4:00,0.360655737704918,0.3076923076923077,0.3394160583941606,0.4736842105263157,0.6830985915492956,0.43684210526315786,0.4863387978142077,0.2795031055900621
2019/1/3 8:00,0.3442622950819672,0.2976588628762542,0.32116788321167883,0.48538011695906425,0.6267605633802816,0.43684210526315786,0.5027322404371585,0.27329192546583847
2019/1/3 12:00,0.3483606557377049,0.32441471571906355,0.2956204379562044,0.4970760233918128,0.7464788732394365,0.5473684210526317,0.4754098360655738,0.2888198757763975
2019/1/3 16:00,0.38114754098360654,0.32441471571906355,0.3394160583941606,0.45614035087719285,0.7464788732394365,0.5315789473684212,0.5846994535519126,0.27329192546583847
2019/1/3 20:00,0.3688524590163934,0.35451505016722407,0.3722627737226277,0.47953216374269003,0.6971830985915491,0.5684210526315789,0.5464480874316939,0.2826086956521739
2019/1/4 0:00,0.3688524590163934,0.37123745819397996,0.3686131386861314,0.47953216374269003,0.7183098591549295,0.5052631578947369,0.53551912568306,0.2981366459627329
2019/1/4 4:00,0.3934426229508196,0.38127090301003347,0.36131386861313874,0.5614035087719297,0.7112676056338028,0.5210526315789474,0.53551912568306,0.2795031055900621
2019/1/4 8:00,0.3852459016393443,0.3511705685618729,0.3686131386861314,0.5730994152046783,0.6760563380281689,0.4842105263157895,0.4972677595628416,0.2795031055900621
2019/1/4 12:00,0.3975409836065574,0.3277591973244147,0.35036496350364965,0.5847953216374269,0.6619718309859155,0.5263157894736843,0.5245901639344261,0.2763975155279503
2019/1/4 16:00,0.43032786885245905,0.33444816053511706,0.36131386861313874,0.5438596491228069,0.6690140845070423,0.5526315789473684,0.5573770491803278,0.27329192546583847
2019/1/4 20:00,0.43852459016393447,0.3678929765886288,0.41240875912408764,0.567251461988304,0.6478873239436619,0.5315789473684212,0.5081967213114754,0.2888198757763975
2019/1/5 0:00,0.4344262295081967,0.3578595317725753,0.3978102189781022,0.4970760233918128,0.6338028169014084,0.5421052631578949,0.5191256830601093,0.2888198757763975
2019/1/5 4:00,0.4262295081967213,0.3411371237458194,0.354014598540146,0.5263157894736841,0.6549295774647887,0.5105263157894737,0.49180327868852464,0.2857142857142857
2019/1/5 8:00,0.4057377049180328,0.30434782608695654,0.3394160583941606,0.5321637426900584,0.6056338028169014,0.4842105263157895,0.53551912568306,0.2919254658385093
2019/1/5 12:00,0.3647540983606557,0.2842809364548495,0.3248175182481752,0.5497076023391811,0.6126760563380281,0.4736842105263159,0.4754098360655738,0.2763975155279503
2019/1/5 16:00,0.32377049180327866,0.26421404682274247,0.24452554744525554,0.5380116959064326,0.6126760563380281,0.5210526315789474,0.5792349726775956,0.24534161490683234
2019/1/5 20:00,0.360655737704918,0.26755852842809363,0.3029197080291971,0.4678362573099415,0.556338028169014,0.4473684210526316,0.44808743169398907,0.2546583850931677
2019/1/6 0:00,0.3360655737704918,0.25752508361204013,0.2883211678832117,0.4736842105263157,0.5211267605633803,0.4052631578947368,0.45901639344262296,0.2546583850931677
2019/1/6 4:00,0.3442622950819672,0.25418060200668896,0.2664233576642336,0.39766081871345027,0.528169014084507,0.42631578947368426,0.3770491803278688,0.26708074534161486
2019/1/6 8:00,0.3032786885245901,0.23411371237458195,0.2846715328467153,0.38596491228070173,0.49295774647887314,0.4000000000000001,0.4426229508196721,0.2639751552795031
